name,latitude,longitude,amenity,highway,
Bhakti_Shakti_Chowk,18.6637916,73.7724518,metroStation,,
Nigdi,18.6581743,73.7658538,metroStation,,
Akurdi,18.6462156,73.7571456,metroStation,,
Chinchwad,18.6298378,73.7686278,metroStation,,
PCMC_Bhavan,18.6187378,73.7863964,metroStation,,
Sant_Tukaram_Nagar,18.6125595,73.7972155,metroStation,,
Nashik_Phata,18.6002901,73.8142896,metroStation,,
Kasarwadi,18.5890999,73.8231873,metroStation,,
Phugewadi,18.5803778,73.8282887,metroStation,,
Dapodi,18.5645789,73.8309112,metroStation,,
Bopodi,18.5552123,73.8361456,metroStation,,
Khadki,18.5471789,73.8508098,metroStation,,
Range_Hill,18.5334765,73.8621876,metroStation,,
Shivaji_Nagar,18.5302654,73.8534543,metroStation,,
Civil_Court,18.5169321,73.8554432,metroStation,,
Budhwar_Peth,18.5161157,73.8594583,metroStation,,
Mahatma_Phule_Market,18.5142798,73.8606333,metroStation,,
Swargate,18.5010876,73.8617986,metroStation,,
Pushmangal_Chowk,18.4960567,73.8668432,metroStation,,
Shankar_Maharaj_Mutt,18.4857876,73.8712981,metroStation,,
Katraj,18.4566634,73.8824897,metroStation,,
Vanaz,18.5085986,73.8078567,metroStation,,
Anand_Nagar,18.5078456,73.8166987,metroStation,,
Ideal_Colony,18.5107432,73.8211232,metroStation,,
Nal_Stop,18.5128986,73.8273676,metroStation,,
Garware_College,18.5164456,73.8335999,metroStation,,
Deccan_Gymkhana,18.5192897,73.8346667,metroStation,,
Chhatrapati_Sambhaji_Udyan,18.5214578,73.8381908,metroStation,,
PMC,18.5232543,73.8394754,metroStation,,
Mangalwar_Peth,18.5267765,73.8645832,metroStation,,
Pune_Railway_Station,18.5288097,73.8745808,metroStation,,
Ruby_Hall_Clinic,18.5310981,73.8766421,metroStation,,
Bund_Garden,18.5339654,73.8792345,metroStation,,
Yerwada,18.5498009,73.8948897,metroStation,,
Kalyani_Nagar,18.5548987,73.9065988,metroStation,,
Ramwadi,18.5614999,73.9135109,metroStation,,
