name,latitude,longitude,amenity,highway,
B. D. Kher Chowk,18.4784371,73.8240279,,traffic_signals,
Kunte Chowk,18.5144753,73.8523177,,traffic_signals,
Belbag Chowk,18.5156694,73.8562866,,traffic_signals,
Cavalry Line,18.5390186,73.9037093,,traffic_signals,
Magar Petrol Pump,18.5152532,73.9330133,fuel,,
Buddha-Hall,18.537239,73.8867527,place_of_worship,,
Wakad Chowk,18.5923513,73.7628419,,traffic_signals,
Bhakti_Shakti_Chowk,18.6637916,73.7724518,metroStation,,
Reliance Fresh,18.5480228,73.920474,,,
McDonald's,18.5457237,73.9062599,fast_food,,
The Charcoal Pit,18.5167868,73.8791405,restaurant,,
The Great Punjab,18.5364098,73.8973015,restaurant,,
Shisha Jazz Cafe,18.5391279,73.9049627,cafe,,
Roshini Petrol Pump,18.539254,73.885693,fuel,,
German Bakery,18.5396234,73.8873711,cafe,,
Talegaon,18.7148474,73.6439753,,motorway_junction,
Anand Thali,18.5009808,73.9448522,restaurant,,
Sangam World Centre,18.5599096,73.8757807,,,
E-Square Multiplex,18.5378515,73.8355739,cinema,,
Hard Rock Cafe,18.5387955,73.912781,restaurant,,
Stone Water Grill,18.5383533,73.9126684,restaurant,,
Nisarg,18.5067094,73.8321992,restaurant,,
Sun N Sand,18.5382482,73.8815099,,,
Le Pizzeria,18.5396305,73.8833529,restaurant,,
Nigdi,18.6581743,73.7658538,metroStation,,
Sriman,18.5395872,73.8831852,,,
Asia Kitchen,18.538908,73.8752478,restaurant,,
Sirona,18.5394081,73.8830135,,,
Crossword,18.530856,73.8753054,,,
Mukul Petrol Pump,18.53956,73.885683,fuel,,
High Spirits,18.5393901,73.9052966,bar,,
Thai House,18.5690389,73.8321526,restaurant,,
Ambedkar Chowk,18.5626197,73.8302166,,motorway_junction,
Yummy Tummy,18.5124118,73.9284574,restaurant,,
Megamart Shop,18.5459611,73.9045987,,,
Crossword Bookstore,18.5455421,73.9064671,,,
Pushkar Sweets,18.5457564,73.9056346,,,
